name,latitude,longitude,rating
Hutson Inc,37.680043,-87.936955,2
Orange Julius,42.19959,-72.5726841,2
New Corner Variety,42.2083262,-72.5711433,2
Subway,42.1990288,-72.5727312,2
Dollar General,37.9790266,-101.744384,2
Taj of India,38.905426,-77.0573654,2
Stars and Stripes Pizza - Edmond,35.651673,-97.512845,2
Orr Ronald,33.798679,-84.78279,2
QDOBA Mexican Eats,36.6200352,-88.3144289,2
Truck Wagon,48.2345564,-101.2529234,2
Domino's Pizza,33.798671,-84.7556499,2
Domino's Pizza,33.4528358,-86.9823911,2
LongHorn Steakhouse,48.20916,-101.318932,2
Us Foods,46.8413673,-100.7353239,2
Bobcat of Devils Lake,48.102149,-98.8482345,2
El Parasol,35.8870964,-106.018557,2
McDonald's,35.8842159,-106.0150388,2
Luis Alvarez Farm LLC,32.2616,-106.79,2
Mazzio's Pizza,36.6981406,-101.4838564,2
Boots dairy,40.2869162,-83.6824835,2
Landmark BBQ,33.6697064,-84.8060228,2
Krystal,33.7508127,-84.7216927,2
Jinma Chengfushi Wholesale Department,22.55025,111.445414,2
Lizhong Non-staple Food Store,20.839125,109.848782,2
Berces Market,37.114093,41.4263964,2
Okyaylar Lokanta,37.569143,29.2779389,2
Community Food Engine LLC,42.2747524,-72.6592822,2.33
McDonald's,34.0112723,-84.7540285,2.33
LiLLiES Restaurant and Bar,38.9284958,-77.0540745,3
Urfa Tomato Kabob,38.9148075,-77.0180766,3
Gray Brothers Market,38.9312628,-77.0238546,3
Tipsy Peacock,38.9277296,-77.0228344,3
Hi Plains Farm Equipment,37.7268746,-100.0171609,3
Taylor Grocery & Tobacco Otlt,34.354101,-85.17153,3
Mikado's,36.6703826,-87.4437394,3
Super Stop & Shop,42.4094981,-73.2651009,3
Subway,42.4018515,-73.2658634,3
Klara's Gourmet Cookies,42.3058405,-73.2499284,3
Mark Turner Farms,39.2016313,-90.3135861,3
Turner Family Farms,39.2017222,-90.3134458,3
Hall's Hill Farm Store,36.1021752,-81.9862118,3
Giant,36.7278043,-108.2155802,3
Mama Mia's Italian Restaurant,38.8742633,-90.099994,3
Good Knight Cupcakes and Cookies,38.8602195,-90.0732729,3
Krietemeyer Farm,40.8956905,-84.3089717,3
SUPERVALU,38.7333963,-89.8978546,3
Great Wall Chinese Restaurant,42.2024538,-73.3536087,3
Hancock Brothers Farm,37.6951614,-88.0200981,3
Dunn's Deli,31.6949703,-87.7770522,3
Bethalto Farm Fresh,38.9016061,-90.0438507,3
Wild West Expresso,32.2743664,-106.7948396,3
Auntie Elsie,42.310479,-72.456827,3
New City Brewery,42.2749129,-72.6590037,3
Allsup's Convenience Store,35.6452692,-106.0422996,3
Pingel Morse Seed Co,41.262579,-95.701526,3
Chelsea Food & Fuel,35.1635664,-90.0362462,3
Broncos Corner,35.0153174,-97.9354353,3
Western Sizzlin Wood Grill,35.0176058,-97.9339777,3
SPF Energy Inc,48.2373016,-101.2511947,3
Main Moon Restaurant,33.7987494,-84.7556729,3
Kathy's Corner,39.2886051,-90.550921,3
Corner Store,35.0743565,-106.5948882,3
Panera Bread,48.2093575,-101.3199374,3
Daily Grind - Teacher's Lunch Box,33.9673873,-84.6675811,3
Millside Inn,38.5546874,-89.5379597,3
Dixie Ranch,32.2518991,-106.7757207,3
New China,33.4889555,-86.9548478,3
Community Food Mart,35.1791315,-89.987656,3
Accent Nursery & Landscaping,33.6835189,-84.6614483,3
Buffalo Wild Wings,37.0759546,-88.6822669,3
Dollar Tree,37.062675,-88.640823,3
Kroger,37.0857542,-88.6464524,3
Sam's Mart,33.7505061,-84.7198337,3
Los Tacos,33.7508535,-84.7227501,3
Xin Xiang Gang Sao La,1.35049,103.84951,3
Xingkai Self-service Shopping Center,23.031347,116.30794,3
Huahui Snack Booth,22.048762,111.011658,3
Nezirhan Restaurant,37.1048059,41.4197388,3
Furkan Sulu Yemek,40.154568,29.980128,3
Besler Unlu Mamulleri,38.075294,30.4612661,3
Ying Ying Inn,1.3739963,103.837743,3.4
Whathefish!,1.2756668,103.8423611,3.4
Yingyan Restaurant,23.7505864,111.9714838,3.4
Laiji Store,24.561639,112.425714,3.4
Glencross Inc,42.1652269,-73.4406821,3.44
Long Quan cha Shi,1.3720122,103.8466338,3.6
Old Hong Kong Restaurant,1.3207333,103.8439134,3.7
Xuanxuan Cake Shop,21.981408,110.94572,3.7
Wilmar Holdings Pte Ltd,1.279802,103.842675,3.77
Pho 14,38.9305695,-77.0341214,4
B&J's Diner,38.9142492,-77.0156582,4
Martin's Cafe,38.8464559,-76.9966522,4
Ideal Market,36.8674569,-87.818131,4
"jacksonburg, Ohio",39.333338,-94.23414,4
Subway,36.6441466,-87.4362679,4
SPIRITED WINES,42.4013312,-73.2659395,4
Terrace Cafe,42.3309008,-73.2819629,4
Guilander Farms,39.1566509,-90.394743,4
Terpening Farms Inc.,39.210975,-90.395035,4
ATM,38.8840997,-90.1107226,4
Fuji Sushi Teriyaki,42.446274,-96.353848,4
Webster Daniel M,48.1887942,-99.0573774,4
Jonas Ridge Tree Farm,35.969341,-81.8838299,4
Lebanon Coffee Shop,43.0987768,-96.1854113,4
Schmidt Quarter Horses,47.3133561,-98.1801784,4
"Larsen Service Drug, Inc.",47.8031435,-103.282788,4
Pizza Hut,38.9014399,-90.0443674,4
Baywash Auto Wash,38.9014191,-90.0490938,4
Jack's,33.4892138,-86.9543959,4
Route 68 Grill,40.3448995,-83.7609561,4
CVS Store,42.137594,-72.5190187,4
LBOE,35.136865,-89.993905,4
Lee Teo Huat,1.3651947,103.8445836,4
Bahar Pastanesi,38.07435,30.461764,4
Balmar Avm,39.906793,30.039134,4
Hong Yi Provisions,1.3674487,103.8486039,4.3
Latteria Mozzarella Bar,1.2786068,103.842943,4.4
Santaro Japanese Restaurant,1.274961,103.843575,4.4
Xizai Restaurant,22.6034803,112.0042122,4.4
Delicious Restaurant,22.307083,112.4326646,4.4
Golden China,38.9128288,-77.0197526,4.444
Brazil Grocery & Cafe,35.9174027,-89.0632581,4.444
McDonald's,43.0908399,-96.1745332,4.444
Kafe'miz,38.075775,30.460676,4.444
PruCafe,1.3128978,103.8372776,4.5
The Room,1.2782835,103.8457238,4.5
Meijia Wholesale & Retail Store,21.980746,110.945741,4.5
Credibility Trading Business,24.561005,112.426116,4.5
Veggie King,1.2759989,103.8415869,4.6
Shenglong Restaurant,21.9306117,112.6153994,4.6
Cuzzin's & More,38.942016,-77.024776,5
Mad Mex,39.9939036,-83.0065665,5
O-Bar Ranch,36.4335799,-99.3879494,5
Rome Food Mart,34.1533708,-85.1419004,5
Big H,34.2378937,-85.1698905,5
Co-Op Elevator & Supply Co,37.29165,-100.3401382,5
Applegate Farms,39.7713889,-101.8008333,5
Orscheln Farm & Home,39.3352526,-101.7242697,5
Yellow Mountain Farms,36.0991667,-81.9869444,5
Chick-fil-A,38.7931247,-89.9964473,5
Salopek Frank (Greg) & Sons Farm Shop,32.234635,-106.782966,5
Marathon Gas,40.5827543,-84.2064286,5
Riverside Sundry,35.1019566,-90.0733578,5
You's Grocery,35.1430195,-89.967274,5
"Summers Manufacturing, Inc.",48.1228407,-98.8891564,5
Butler Machinery Company,48.1319585,-98.9085169,5
J J's Country Store,33.878537,-84.693528,5
Ji Xiang Confectionery,1.2775725,103.8401403,5
The Alley Cafe,1.2798169,103.8414874,5
Jess' Grills,1.367346,103.848598,5
Xinxian Guoyuan,24.6558341,116.1751772,5
